camera,filename,radius,config,margin_inner_px,margin_outer_px,inner_frac,outer_frac,raw_erf,raw_int_var,raw_bg_var,raw_int_max,flat_erf,flat_int_var,flat_bg_var,flat_int_max,erf_delta,erf_pct,int_var_reduction,bg_var_reduction
g,sphere1256g_crop.png,50,asym_in14_out8,7,4,0.14,0.08,0.3639483435155771,0.05105804279446602,0.009193447418510914,0.8509804010391235,1.858482909758688,0.0,0.0,0.0,1.4945345662431109,410.64469529015577,1.0,1.0
g,sphere0943g_crop.png,50,fixed_15px,15,15,0.3,0.3,0.4300617054302983,0.03321433439850807,0.0047922274097800255,0.7058823704719543,10.633474145131906,0.0,0.0,0.0,10.203412439701609,2372.5461511372146,1.0,1.0
g,sphere0943g_crop.png,50,fixed_25px,25,25,0.5,0.5,0.4300617054302983,0.03321433439850807,0.0047922274097800255,0.7058823704719543,16.126231564875155,0.0014781799400225282,0.002693439368158579,0.19320788979530334,15.696169859444858,3649.748317800129,0.9554957229524093,0.43795668739305216
g,sphere0943g_crop.png,50,fixed_35px,35,35,0.7,0.7,0.4300617054302983,0.03321433439850807,0.0047922274097800255,0.7058823704719543,20.984621542723946,0.012136836536228657,0.009702065028250217,0.4629146456718445,20.55455983729365,4779.44433967395,0.6345904033297798,-1.0245418672014908
g,sphere0943g_crop.png,50,prop_5pct,2,2,0.04,0.04,0.4300617054302983,0.03321433439850807,0.0047922274097800255,0.7058823704719543,4.152161419695905,0.0,0.0,0.0,3.7220997142656067,865.4803874112575,1.0,1.0
g,sphere0943g_crop.png,50,prop_8pct,4,4,0.08,0.08,0.4300617054302983,0.03321433439850807,0.0047922274097800255,0.7058823704719543,5.180468080828881,0.0,0.0,0.0,4.750406375398582,1104.5871593346267,1.0,1.0
g,sphere0943g_crop.png,50,prop_10pct,5,5,0.1,0.1,0.4300617054302983,0.03321433439850807,0.0047922274097800255,0.7058823704719543,5.634312514213871,0.0,0.0,0.0,5.204250808783573,1210.117232729768,1.0,1.0
g,sphere0943g_crop.png,50,prop_14pct,7,7,0.14,0.14,0.4300617054302983,0.03321433439850807,0.0047922274097800255,0.7058823704719543,6.583002760366518,0.0,0.0,0.0,6.152941054936219,1430.7112159125847,1.0,1.0
g,sphere0943g_crop.png,50,prop_20pct,10,10,0.2,0.2,0.4300617054302983,0.03321433439850807,0.0047922274097800255,0.7058823704719543,8.003311417397173,0.0,0.0,0.0,7.5732497119668745,1760.9681625545938,1.0,1.0
g,sphere0943g_crop.png,50,prop_30pct,15,15,0.3,0.3,0.4300617054302983,0.03321433439850807,0.0047922274097800255,0.7058823704719543,10.633474145131906,0.0,0.0,0.0,10.203412439701609,2372.5461511372146,1.0,1.0
