camera,filename,config,radius,m_in,m_out,margin_as_pct_of_R,test_type,sigma_target,kernel_applied,native_sigma,measured,error_pct,int_var,int_max
v,sphere0925v_crop.png,Fixed 60px,92,60,60,65.21739130434783,fixed_kernel,8.041183553849342,8.0,0.8127932988756343,8.02165657622717,-0.24283710838592723,3.7331665225792676e-05,0.04353867843747139
v,sphere0925v_crop.png,Fixed 60px,92,60,60,65.21739130434783,fixed_kernel,10.032977272310404,10.0,0.8127932988756343,10.040654229214217,0.07651723606511504,3.7331665225792676e-05,0.04353867843747139
v,sphere0925v_crop.png,Fixed 60px,92,60,60,65.21739130434783,fixed_kernel,12.027494874108122,12.0,0.8127932988756343,12.056705482034602,0.24286527021817453,3.7331665225792676e-05,0.04353867843747139
v,sphere0925v_crop.png,14% of radius,92,12,12,13.043478260869565,quadrature,2.0,1.7418787350874902,0.9827809889543065,2.2762775132157773,13.813875660788867,0.0,0.0
v,sphere0925v_crop.png,14% of radius,92,12,12,13.043478260869565,quadrature,4.0,3.8773884932709533,0.9827809889543065,4.74834250108332,18.708562527082996,0.0,0.0
v,sphere0925v_crop.png,14% of radius,92,12,12,13.043478260869565,quadrature,6.0,5.918964565508903,0.9827809889543065,6.95541784801827,15.923630800304494,0.0,0.0
v,sphere0925v_crop.png,14% of radius,92,12,12,13.043478260869565,quadrature,8.0,7.939404355979735,0.9827809889543065,8.93597121404704,11.699640175588,0.0,0.0
v,sphere0925v_crop.png,14% of radius,92,12,12,13.043478260869565,quadrature,10.0,9.951589899495959,0.9827809889543065,10.849446164897627,8.494461648976266,0.0,0.0
v,sphere0925v_crop.png,14% of radius,92,12,12,13.043478260869565,quadrature,12.0,11.959688186894757,0.9827809889543065,12.778593582820417,6.488279856836805,0.0,0.0
v,sphere0925v_crop.png,14% of radius,92,12,12,13.043478260869565,fixed_kernel,2.2284206228290935,2.0,0.9827809889543065,2.558691901741562,14.820867996328817,0.0,0.0
v,sphere0925v_crop.png,14% of radius,92,12,12,13.043478260869565,fixed_kernel,4.118963276390068,4.0,0.9827809889543065,4.890004331344021,18.7192990860969,0.0,0.0
v,sphere0925v_crop.png,14% of radius,92,12,12,13.043478260869565,fixed_kernel,6.079955466304832,6.0,0.9827809889543065,7.036977211161499,15.740604518577321,0.0,0.0
v,sphere0925v_crop.png,14% of radius,92,12,12,13.043478260869565,fixed_kernel,8.06014010251993,8.0,0.9827809889543065,8.993661024028945,11.581944105626125,0.0,0.0
v,sphere0925v_crop.png,14% of radius,92,12,12,13.043478260869565,fixed_kernel,10.04817687305762,10.0,0.9827809889543065,10.89552837964072,8.432888048130597,0.0,0.0
v,sphere0925v_crop.png,14% of radius,92,12,12,13.043478260869565,fixed_kernel,12.040176845555468,12.0,0.9827809889543065,12.817594860318756,6.4568654159782195,0.0,0.0
v,sphere0925v_crop.png,20% of radius,92,18,18,19.565217391304348,quadrature,2.0,1.7688613126126356,0.9333432684400225,2.201441054796285,10.072052739814241,0.0,0.0
v,sphere0925v_crop.png,20% of radius,92,18,18,19.565217391304348,quadrature,4.0,3.889584854873036,0.9333432684400225,4.473041223211664,11.82603058029159,0.0,0.0
v,sphere0925v_crop.png,20% of radius,92,18,18,19.565217391304348,quadrature,6.0,5.926961307724026,0.9333432684400225,6.76678694186519,12.779782364419836,0.0,0.0
v,sphere0925v_crop.png,20% of radius,92,18,18,19.565217391304348,quadrature,8.0,7.945367854495958,0.9333432684400225,8.944044467108363,11.800555838854532,0.0,0.0
v,sphere0925v_crop.png,20% of radius,92,18,18,19.565217391304348,quadrature,10.0,9.95634824337004,0.9333432684400225,10.970501645790485,9.705016457904847,0.0,0.0
v,sphere0925v_crop.png,20% of radius,92,18,18,19.565217391304348,quadrature,12.0,11.963647869410805,0.9333432684400225,12.95228139295153,7.935678274596085,0.0,0.0
v,sphere0925v_crop.png,20% of radius,92,18,18,19.565217391304348,fixed_kernel,2.2070635823968243,2.0,0.9333432684400225,2.4354585885263873,10.34836549119853,0.0,0.0
v,sphere0925v_crop.png,20% of radius,92,18,18,19.565217391304348,fixed_kernel,4.107448071095033,4.0,0.9333432684400225,4.595867103367824,11.891057995593357,0.0,0.0
v,sphere0925v_crop.png,20% of radius,92,18,18,19.565217391304348,fixed_kernel,6.072160213362483,6.0,0.9333432684400225,6.847989962936817,12.776832664379178,0.0,0.0
v,sphere0925v_crop.png,20% of radius,92,18,18,19.565217391304348,fixed_kernel,8.054261583580601,8.0,0.9333432684400225,9.000185991345752,11.74439640368163,0.0,0.0
v,sphere0925v_crop.png,20% of radius,92,18,18,19.565217391304348,fixed_kernel,10.043462035411011,10.0,0.9333432684400225,11.013774204910796,9.661132446945885,0.0,0.0
v,sphere0925v_crop.png,20% of radius,92,18,18,19.565217391304348,fixed_kernel,12.036242339565215,12.0,0.9333432684400225,12.98798898812094,7.907340361760319,0.0,0.0
v,sphere0925v_crop.png,25% of radius,92,23,23,25.0,quadrature,2.0,1.7800117585253066,0.911898097109346,2.1551856998301755,7.759284991508775,0.0,0.0
v,sphere0925v_crop.png,25% of radius,92,23,23,25.0,quadrature,4.0,3.894668389027281,0.911898097109346,4.370156315175997,9.253907879399925,0.0,0.0
