crop_path,filename,folder,laplacian_var,tenengrad,tenengrad_var,brenner,norm_laplacian,energy_gradient
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0127v_crop.png,sphere0127v_crop.png,10mm-borosilicate-1,230.00601433274986,699928258.0,7425.741667672442,24119108.0,0.022895176544262517,15846503.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0128v_crop.png,sphere0128v_crop.png,10mm-borosilicate-1,227.98626960910252,697091704.0,7399.733393471122,23893084.0,0.022765782258614045,15772350.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0129v_crop.png,sphere0129v_crop.png,10mm-borosilicate-1,221.54867808273087,698871322.0,7411.58538369374,23970323.0,0.021913194001474796,15672944.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0130v_crop.png,sphere0130v_crop.png,10mm-borosilicate-1,227.29633282353993,699434098.0,7418.178655589953,24053726.0,0.022574446434233123,15790690.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0131v_crop.png,sphere0131v_crop.png,10mm-borosilicate-1,233.5746273218848,702424982.0,7451.953752111611,24218965.0,0.022733700696845733,15963888.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0132v_crop.png,sphere0132v_crop.png,10mm-borosilicate-1,227.71841788355042,699632136.0,7423.540127735985,23504229.0,0.022097682420303424,15808935.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0133v_crop.png,sphere0133v_crop.png,10mm-borosilicate-1,234.34059901451823,703868274.0,7474.478396029974,23742548.0,0.022634312131127217,15998798.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0134v_crop.png,sphere0134v_crop.png,10mm-borosilicate-1,234.75004455118514,707953476.0,7506.67776081053,23794006.0,0.022626348526462916,16078371.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0135v_crop.png,sphere0135v_crop.png,10mm-borosilicate-1,231.38497419593267,705216228.0,7488.9290160641785,23734953.0,0.02248540665413197,15969347.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0136v_crop.png,sphere0136v_crop.png,10mm-borosilicate-1,227.41794382309084,706428418.0,7492.300545577958,23785934.0,0.021751789545851143,15918019.0
