crop_path,filename,folder,laplacian_var,tenengrad,tenengrad_var,brenner,norm_laplacian,energy_gradient,focus_class
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0370v_crop.png,sphere0370v_crop.png,14mm-borosilicate-1,227.9591644148066,712106538.0,7525.599596988576,24002748.0,0.020693669028733704,16008735.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0372v_crop.png,sphere0372v_crop.png,14mm-borosilicate-1,232.33966241208645,701886144.0,7416.078234001017,23801785.0,0.02144097929737616,15924386.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0376v_crop.png,sphere0376v_crop.png,14mm-borosilicate-1,221.676693922453,693231116.0,7316.534301321597,23361531.0,0.020435812604984022,15572852.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0377v_crop.png,sphere0377v_crop.png,14mm-borosilicate-1,229.15522208574578,700384338.0,7385.866294534191,23635336.0,0.021098507594817427,15832712.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0383v_crop.png,sphere0383v_crop.png,14mm-borosilicate-1,223.9873616883966,696928986.0,7363.040010711817,23789229.0,0.021080008339659687,15676975.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0384v_crop.png,sphere0384v_crop.png,14mm-borosilicate-1,225.65193405508666,704655550.0,7444.8322582730525,24156888.0,0.020978438759149638,15844428.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0392v_crop.png,sphere0392v_crop.png,14mm-borosilicate-1,221.94858175650305,708400046.0,7483.534923189149,24202737.0,0.020701031024303543,15824545.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0394v_crop.png,sphere0394v_crop.png,14mm-borosilicate-1,226.88988149230505,709689988.0,7472.172679344886,24145358.0,0.02071986443737687,15929556.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0397v_crop.png,sphere0397v_crop.png,14mm-borosilicate-1,222.97206900688977,710420566.0,7504.969895297785,24021063.0,0.02005051531755687,15873545.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-2\sphere0403v_crop.png,sphere0403v_crop.png,14mm-borosilicate-2,228.2038553912789,708129932.0,7484.980948414147,23984135.0,0.02071552114462062,15943325.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-2\sphere0411v_crop.png,sphere0411v_crop.png,14mm-borosilicate-2,235.9338576023099,713931920.0,7547.806001918039,24010287.0,0.021190486769920174,16190020.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-2\sphere0420v_crop.png,sphere0420v_crop.png,14mm-borosilicate-2,239.48314186683382,720299900.0,7615.877131830895,24589703.0,0.02157012888446758,16357612.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-2\sphere0423v_crop.png,sphere0423v_crop.png,14mm-borosilicate-2,234.36340181019662,706791680.0,7471.753390569719,24053079.0,0.021285470571427847,16049097.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-2\sphere0424v_crop.png,sphere0424v_crop.png,14mm-borosilicate-2,227.61474297490648,695037220.0,7350.217284972243,23557419.0,0.020984803812580624,15715004.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-2\sphere0427v_crop.png,sphere0427v_crop.png,14mm-borosilicate-2,229.77522366122682,709539652.0,7492.311821242345,24191279.0,0.02080021063024022,15995377.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-2\sphere0449v_crop.png,sphere0449v_crop.png,14mm-borosilicate-2,256.9059648177029,804720404.0,8505.894045736466,27142715.0,0.01991051161035706,18073298.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-2\sphere0450v_crop.png,sphere0450v_crop.png,14mm-borosilicate-2,254.20128660237833,803935568.0,8495.974345005696,26917971.0,0.019734316777448746,18005126.0,sharp
